 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Fx. Etária(13)
UF Residência: Goiás
Período:2021
"Município (Res)";"1-4";"15-19";"20-29";"30-39";"40-49";"50-59";"60-69";"70-79";"80 e mais";"Total"
"521850 Quirinópolis";0;0;1;0;0;0;0;0;0;1
"521880 Rio Verde";0;4;12;12;14;9;4;1;0;56
"521910 Santa Bárbara de Goiás";0;0;1;0;0;0;0;0;0;1
"521925 Santa Fé de Goiás";0;0;0;1;0;0;0;0;0;1
"521930 Santa Helena de Goiás";0;0;0;2;0;0;0;0;0;2
"521950 Santa Rosa de Goiás";0;0;0;0;1;0;0;0;0;1
"521973 Santo Antônio de Goiás";0;0;1;0;0;0;0;0;0;1
"521975 Santo Antônio do Descoberto";0;0;2;4;2;1;0;0;0;9
"522005 São João da Paraúna";0;0;1;0;0;0;0;0;0;1
"522010 São Luís de Montes Belos";0;0;0;1;0;0;0;0;0;1
"522040 São Simão";0;0;0;0;0;1;0;0;0;1
"522045 Senador Canedo";0;1;7;11;7;1;3;0;0;30
"522050 Serranópolis";0;0;0;1;1;0;0;0;0;2
"522060 Silvânia";0;0;0;0;2;1;0;0;0;3
"522070 Sítio d'Abadia";0;0;0;0;1;0;0;0;0;1
"522100 Taquaral de Goiás";0;0;0;1;0;1;0;0;0;2
"522119 Terezópolis de Goiás";0;0;1;1;2;0;0;0;0;4
"522140 Trindade";0;0;4;5;3;1;0;0;0;13
"522150 Turvânia";0;0;0;1;0;0;0;0;0;1
"522160 Uruaçu";0;0;2;1;1;0;0;1;0;5
"522185 Valparaíso de Goiás";0;1;10;6;4;3;0;0;0;24
"522200 Vianópolis";0;0;0;1;0;0;0;0;0;1
"Total";1;39;367;294;201;130;51;15;2;1100
