 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Escolaridade
Ano Diagnóstico: 2015
Ano Notificação: 2015
UF Residência: Rio Grande do Sul
Região Res.: Região Sul
UF Notificação: Rio Grande do Sul
Região Not.: Região Sul
Período:2015
"Município (Res)";"analfabeto";"1ª a 4ª série incompleta";"4ª série completa";"5ª a 8ª série incompleta";"fundamental completo";"médio incompleto";"médio completo";"superior incompleto";"superior completo";"não se aplica";"Total"
"430535 Charqueadas";3;4;1;6;3;1;0;0;1;0;19
"430545 Cidreira";0;0;0;1;0;0;0;0;0;0;1
"430587 Coronel Barros";0;0;0;0;0;0;0;0;1;0;1
"430595 Cotiporã";0;0;1;0;0;0;0;0;0;0;1
"430600 Crissiumal";0;0;0;0;0;0;0;1;0;0;1
"430610 Cruz Alta";2;3;4;6;4;1;10;2;0;0;32
"430632 Derrubadas";0;1;0;1;0;0;0;0;0;0;2
"430640 Dois Irmãos";0;0;0;2;1;1;1;2;0;0;7
"430650 Dom Feliciano";0;0;0;1;0;0;0;0;0;0;1
"430660 Dom Pedrito";0;4;0;5;0;2;0;0;1;0;12
"430676 Eldorado do Sul";0;0;1;3;0;0;0;0;1;0;5
"430680 Encantado";0;0;0;0;0;1;0;0;0;0;1
"430690 Encruzilhada do Sul";0;1;1;0;2;0;0;0;0;0;4
"430692 Engenho Velho";0;0;0;1;0;0;0;0;0;0;1
"430695 Entre Rios do Sul";0;0;0;1;0;0;0;0;0;0;1
"430700 Erechim";0;1;2;3;2;2;2;0;3;0;15
"430740 Esmeralda";0;1;0;0;0;0;0;0;0;0;1
"430750 Espumoso";0;2;0;0;0;0;2;0;0;0;4
"430760 Estância Velha";1;0;0;0;0;1;2;0;1;0;5
"430770 Esteio";0;8;1;7;5;6;1;1;2;0;31
"430780 Estrela";0;0;0;4;1;0;1;0;0;0;6
"430790 Farroupilha";0;0;1;3;0;2;1;0;0;0;7
"430820 Flores da Cunha";0;0;0;0;0;0;0;0;1;0;1
"430830 Fontoura Xavier";0;0;0;0;0;0;0;1;0;0;1
"430850 Frederico Westphalen";0;0;0;3;1;2;0;1;1;0;8
"430860 Garibaldi";0;0;0;0;0;2;1;0;1;0;4
"430870 Gaurama";0;1;0;0;0;0;0;0;0;0;1
"430890 Getúlio Vargas";0;0;0;1;0;0;1;0;0;0;2
"430900 Giruá";0;1;0;1;2;1;0;0;0;0;5
"430905 Glorinha";0;0;0;0;1;0;0;0;0;0;1
"430910 Gramado";0;1;0;0;0;1;0;0;0;0;2
"430915 Gramado Xavier";0;0;0;1;0;0;0;0;0;0;1
"430920 Gravataí";1;11;5;9;12;15;11;3;2;1;70
"430930 Guaíba";1;4;1;5;5;3;1;0;0;0;20
"430940 Guaporé";0;0;0;1;0;1;1;0;0;0;3
"430950 Guarani das Missões";0;1;0;0;0;0;0;0;0;0;1
"430710 Herval";0;0;0;0;2;0;0;0;0;0;2
"430965 Hulha Negra";0;0;1;1;0;0;0;0;0;0;2
"430980 Ibiaçá";0;0;0;0;0;0;1;0;0;0;1
"431000 Ibirubá";0;1;1;1;0;0;2;0;0;0;5
"431010 Igrejinha";0;0;0;2;1;0;0;0;0;0;3
"431020 Ijuí";1;1;2;3;2;0;6;2;1;0;18
"431033 Imbé";0;0;0;2;0;2;1;0;0;0;5
"431040 Independência";0;0;0;1;0;0;0;0;0;0;1
"431060 Itaqui";0;3;3;6;1;1;0;0;0;0;14
"431080 Ivoti";0;0;0;1;0;0;0;0;0;0;1
"431085 Jaboticaba";0;0;0;0;0;0;0;1;0;0;1
"431110 Jaguari";0;0;0;0;0;0;0;0;1;0;1
"431120 Júlio de Castilhos";0;0;0;2;0;0;0;0;0;0;2
"431127 Lagoa dos Três Cantos";0;0;0;2;0;0;0;0;0;0;2
"431130 Lagoa Vermelha";0;1;3;1;1;3;0;0;1;0;10
"431140 Lajeado";0;1;1;18;3;3;6;3;2;0;37
"431150 Lavras do Sul";0;0;1;0;0;0;0;0;0;0;1
"431180 Marau";0;0;0;1;0;0;1;0;0;0;2
"431198 Mariana Pimentel";0;0;0;0;1;0;0;0;0;0;1
"431205 Marques de Souza";0;0;0;1;0;0;0;0;0;0;1
"431220 Maximiliano de Almeida";0;0;0;1;0;0;0;0;0;0;1
"431225 Minas do Leão";0;0;0;1;0;0;0;0;0;0;1
"431240 Montenegro";0;4;0;4;1;2;2;0;1;0;14
"431250 Mostardas";0;0;0;0;1;1;0;0;1;0;3
"431265 Não-Me-Toque";0;0;0;1;0;0;0;0;0;0;1
"431270 Nonoai";0;0;1;1;0;0;0;0;0;0;2
"431306 Nova Hartz";0;2;1;0;0;0;0;0;0;0;3
"431330 Nova Prata";0;0;1;0;0;0;0;0;0;0;1
"431337 Nova Santa Rita";0;0;0;1;0;1;1;0;0;0;3
"431340 Novo Hamburgo";1;8;3;26;5;4;5;3;5;0;60
"431346 Novo Xingu";0;0;0;0;0;0;1;0;0;0;1
"431350 Osório";0;1;1;5;2;2;2;2;1;0;16
"431365 Palmares do Sul";1;0;0;0;1;0;1;0;0;0;3
"431370 Palmeira das Missões";0;1;0;4;0;0;1;0;0;0;6
"431380 Palmitinho";0;0;0;1;0;0;1;0;0;0;2
"431390 Panambi";0;0;0;0;0;0;1;1;0;0;2
"431395 Pantano Grande";0;0;0;0;0;0;1;0;0;0;1
"431403 Pareci Novo";0;0;1;0;0;0;0;0;0;0;1
"431405 Parobé";0;0;1;2;0;3;1;1;0;0;8
"431410 Passo Fundo";0;6;2;17;11;2;10;3;2;0;53
"431415 Paverama";0;0;0;2;0;0;0;0;0;0;2
"431440 Pelotas";1;5;6;15;4;7;9;2;3;0;52
"431445 Pinhal";0;0;0;0;1;0;0;0;0;0;1
"431450 Pinheiro Machado";0;0;0;1;0;0;0;0;0;0;1
"431477 Pontão";1;0;0;0;0;0;0;0;0;0;1
"431480 Portão";0;0;1;2;0;0;0;0;0;0;3
"431490 Porto Alegre";13;92;51;267;122;109;133;43;90;0;920
"431540 Redentora";0;0;0;0;0;0;0;0;1;0;1
"431550 Restinga Seca";0;1;0;3;0;0;0;0;0;0;4
"431560 Rio Grande";7;18;13;24;9;7;13;4;4;0;99
"431570 Rio Pardo";0;1;0;3;0;0;1;0;1;0;6
"431580 Roca Sales";0;0;0;0;0;0;1;0;0;0;1
"431610 Ronda Alta";0;0;0;0;0;0;0;0;1;0;1
"431640 Rosário do Sul";0;2;0;1;0;0;0;0;0;0;3
"431660 Sananduva";0;0;0;0;0;0;2;0;0;0;2
"431670 Santa Bárbara do Sul";0;0;0;1;0;0;0;0;0;0;1
"431680 Santa Cruz do Sul";2;7;12;16;6;5;12;3;1;0;64
"431690 Santa Maria";1;5;1;16;14;11;14;4;6;0;72
"431720 Santa Rosa";0;2;0;3;1;2;1;0;1;0;10
"431730 Santa Vitória do Palmar";2;0;2;4;2;1;0;0;0;0;11
"431710 Santana do Livramento";1;0;0;3;3;7;7;0;0;0;21
"431740 Santiago";0;2;1;1;2;0;0;0;0;0;6
"431750 Santo Ângelo";1;2;1;5;0;1;7;0;5;0;22
"431760 Santo Antônio da Patrulha";0;1;0;1;0;0;1;0;0;0;3
"431780 Santo Augusto";0;0;0;1;0;0;0;0;0;0;1
"431800 São Borja";0;0;0;1;1;2;3;0;0;0;7
"431830 São Gabriel";0;4;3;3;1;2;1;0;2;0;16
"431840 São Jerônimo";0;0;0;1;0;0;0;0;0;0;1
"431850 São José do Norte";0;0;2;0;0;0;0;0;0;0;2
"431862 São José dos Ausentes";0;1;0;0;0;0;0;0;0;0;1
"431870 São Leopoldo";4;15;3;28;12;8;14;1;4;0;89
"431880 São Lourenço do Sul";0;0;0;0;0;0;0;0;1;0;1
"431890 São Luiz Gonzaga";0;3;0;3;1;1;2;0;0;0;10
"431900 São Marcos";1;0;0;1;0;0;0;0;0;0;2
"431920 São Nicolau";0;1;0;0;0;0;0;0;0;0;1
"431935 São Pedro da Serra";0;0;0;0;1;0;0;0;0;0;1
"431936 São Pedro das Missões";0;0;0;1;0;0;0;0;0;0;1
"431940 São Pedro do Sul";0;0;0;0;1;0;0;0;0;0;1
"431950 São Sebastião do Caí";0;1;0;0;0;0;0;0;1;0;2
"431990 Sapiranga";0;3;2;6;0;0;1;2;0;0;14
"432000 Sapucaia do Sul";1;9;4;32;3;11;12;1;1;0;74
"432010 Sarandi";0;0;0;1;0;0;0;0;0;0;1
"432020 Seberi";0;0;0;1;0;0;0;0;0;0;1
"432055 Sertão Santana";0;0;0;1;0;0;0;0;0;0;1
"432070 Sobradinho";0;0;0;0;0;0;0;1;0;0;1
"432080 Soledade";0;0;0;1;1;1;2;0;0;0;5
"432085 Tabaí";0;0;0;0;0;0;1;0;0;0;1
"432090 Tapejara";0;0;0;1;0;0;0;0;0;0;1
"432110 Tapes";0;0;0;0;0;0;0;2;0;0;2
"432120 Taquara";0;1;2;7;4;6;0;1;1;0;22
"432130 Taquari";0;0;0;0;0;1;0;0;0;0;1
"432140 Tenente Portela";0;0;0;0;0;1;0;0;0;0;1
"432145 Teutônia";0;0;0;4;1;0;1;0;0;0;6
"432146 Tio Hugo";0;0;0;0;0;0;1;0;0;0;1
"432150 Torres";0;0;3;5;2;3;4;0;0;0;17
"432160 Tramandaí";1;3;2;13;1;2;3;0;1;0;26
"432170 Três Coroas";0;1;0;1;0;0;1;0;0;0;3
"432180 Três de Maio";0;0;0;2;0;0;0;0;0;0;2
"432190 Três Passos";0;0;0;0;0;0;4;0;0;0;4
"432200 Triunfo";0;1;0;0;0;0;0;0;0;0;1
"432225 Tupandi";0;1;0;0;0;0;0;0;0;0;1
"432240 Uruguaiana";0;2;4;7;2;3;6;0;1;0;25
"432250 Vacaria";1;1;1;8;2;0;1;0;0;0;14
"432260 Venâncio Aires";0;1;1;5;1;0;0;0;2;0;10
"432280 Veranópolis";0;0;0;2;1;0;0;0;1;0;4
"432300 Viamão";4;6;4;19;6;6;11;2;3;0;61
"432380 Xangri-lá";0;1;0;6;0;0;2;0;0;0;9
"Total";62;325;186;846;339;326;446;114;185;1;2830
