 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Fx. Etária(13)
UF Residência: Mato Grosso
Período:2017
"Município (Res)";"1-4";"5-9";"10-14";"15-19";"20-29";"30-39";"40-49";"50-59";"60-69";"70-79";"80 e mais";"Total"
"510682 Porto Esperidião";0;0;0;0;1;1;1;0;0;0;0;3
"510685 Porto Estrela";0;0;0;0;0;1;0;0;0;0;0;1
"510700 Poxoréo";0;0;0;0;2;1;1;0;0;2;0;6
"510704 Primavera do Leste";0;0;0;0;4;2;2;2;0;0;0;10
"510706 Querência";0;0;0;0;0;0;1;0;0;0;0;1
"510720 Rio Branco";0;0;0;0;0;1;0;0;0;0;0;1
"510760 Rondonópolis";0;0;0;1;48;44;34;16;2;5;0;150
"510770 Rosário Oeste";0;0;0;0;0;0;1;0;0;0;1;2
"510775 Salto do Céu";0;0;0;0;0;1;1;0;0;0;0;2
"510774 Santa Cruz do Xingu";0;1;0;0;0;0;0;0;0;0;0;1
"510777 Santa Terezinha";0;0;0;0;0;1;0;0;0;0;0;1
"510779 Santo Antônio do Leste";0;0;0;0;0;1;0;0;0;0;0;1
"510785 São Félix do Araguaia";0;0;0;0;0;1;1;1;0;0;0;3
"510730 São José do Rio Claro";0;0;0;0;1;1;0;0;0;0;0;2
"510740 São Pedro da Cipa";0;0;0;0;2;0;0;0;0;0;0;2
"510787 Sapezal";0;0;0;0;0;0;2;0;1;0;0;3
"510790 Sinop";0;0;0;3;8;10;10;9;2;2;0;44
"510792 Sorriso";1;0;0;0;2;4;5;3;1;0;0;16
"510795 Tangará da Serra";0;0;0;2;4;6;7;4;3;0;0;26
"510805 Terra Nova do Norte";0;0;0;0;0;0;0;1;0;0;0;1
"510840 Várzea Grande";0;0;1;3;15;18;13;6;1;0;0;57
"510550 Vila Bela da Santíssima Trindade";0;0;0;0;0;0;1;0;0;0;0;1
"510860 Vila Rica";0;0;0;1;0;0;2;0;1;0;0;4
"Total";2;1;1;19;202;210;164;85;42;17;1;744
