 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Fx. Etária(13)
UF Residência: Goiás
Período:2015
"Município (Res)";"< 1 ano";"1-4";"15-19";"20-29";"30-39";"40-49";"50-59";"60-69";"70-79";"80 e mais";"Total"
"520620 Cristalina";0;0;0;2;1;1;1;1;0;0;6
"520640 Crixás";0;0;0;0;0;1;0;0;0;0;1
"520660 Cumari";0;0;0;1;0;0;0;0;0;0;1
"520740 Edéia";0;0;1;0;0;0;0;0;0;0;1
"520800 Formosa";0;0;0;1;1;1;0;0;0;0;3
"520815 Gameleira de Goiás";0;0;0;0;0;1;0;0;0;0;1
"520840 Goianápolis";0;0;0;0;0;0;1;0;0;0;1
"520860 Goianésia";0;0;0;0;2;0;0;0;0;0;2
"520870 Goiânia";2;2;11;141;142;93;44;9;0;1;445
"520880 Goianira";0;0;0;2;0;1;1;0;1;0;5
"520890 Goiás";0;0;0;0;1;0;0;0;0;0;1
"520910 Goiatuba";0;0;0;0;1;2;0;0;0;0;3
"520920 Guapó";0;0;0;0;0;1;1;0;0;0;2
"520929 Guaraíta";0;0;0;0;1;0;0;0;0;0;1
"520995 Indiara";0;0;0;0;1;1;0;0;0;0;2
"521000 Inhumas";0;0;0;2;2;1;1;0;1;0;7
"521010 Ipameri";0;0;0;0;1;1;0;0;0;0;2
"521020 Iporá";0;0;1;0;1;1;0;0;0;0;3
"521040 Itaberaí";0;0;0;1;0;0;0;0;0;0;1
"521080 Itajá";0;0;0;0;1;0;0;0;0;0;1
"521120 Itapuranga";0;0;0;0;1;0;0;0;0;0;1
"521130 Itarumã";0;0;0;0;1;0;1;0;0;0;2
"521150 Itumbiara";0;0;0;12;13;9;4;1;0;0;39
"521170 Jandaia";0;0;0;0;1;0;0;0;0;0;1
"521180 Jaraguá";0;0;0;1;1;2;0;0;0;0;4
"521190 Jataí";0;0;0;11;14;8;5;0;1;1;40
"521220 Jussara";0;0;0;1;1;0;0;0;0;0;2
"521230 Leopoldo de Bulhões";0;0;0;0;2;0;0;0;0;0;2
"521250 Luziânia";1;1;2;10;1;3;2;0;0;0;20
"521295 Matrinchã";0;0;0;1;0;0;0;0;0;0;1
"521300 Maurilândia";0;0;0;0;1;0;0;0;0;0;1
"521308 Minaçu";0;0;1;1;0;0;0;0;0;0;2
"521310 Mineiros";0;0;0;0;0;1;2;1;0;0;4
"521340 Moiporá";0;0;0;0;1;0;0;0;0;0;1
"521350 Monte Alegre de Goiás";0;0;0;0;0;0;1;0;0;0;1
"521375 Montividiu";0;0;0;0;1;1;0;0;0;0;2
"521380 Morrinhos";0;0;0;0;2;4;5;1;0;0;12
"521400 Mozarlândia";0;0;0;0;1;0;0;0;0;0;1
"521440 Nazário";0;0;0;0;0;1;1;0;0;0;2
"521450 Nerópolis";0;0;0;0;1;0;0;0;0;0;1
"521460 Niquelândia";0;0;0;0;1;0;0;0;0;0;1
"521500 Nova Veneza";0;0;0;0;0;1;0;0;0;0;1
"521523 Novo Gama";0;0;1;1;3;2;0;0;0;0;7
"521530 Orizona";0;0;0;0;1;0;0;0;0;0;1
"521560 Padre Bernardo";0;0;0;0;0;0;1;0;0;0;1
"521565 Palestina de Goiás";0;0;0;0;0;1;0;0;0;0;1
"521570 Palmeiras de Goiás";0;0;0;1;2;1;1;0;0;0;5
"521590 Palminópolis";0;0;0;0;0;0;0;1;0;0;1
"521630 Paranaiguara";0;0;0;1;0;0;0;1;0;0;2
"521710 Piracanjuba";0;0;0;0;0;1;0;0;0;0;1
"521760 Planaltina";0;0;0;1;0;1;2;0;0;0;4
"521800 Porangatu";0;0;0;1;0;2;0;0;0;0;3
"521805 Porteirão";0;0;0;0;1;0;0;0;0;0;1
"521810 Portelândia";0;0;0;0;0;0;1;0;0;0;1
"521839 Professor Jamil";0;0;0;1;0;0;0;0;0;0;1
"521850 Quirinópolis";0;0;0;0;1;1;1;0;0;0;3
"521880 Rio Verde";0;0;1;12;11;4;5;0;0;0;33
"521890 Rubiataba";0;0;0;0;0;1;0;0;0;0;1
"521910 Santa Bárbara de Goiás";0;0;0;0;1;0;0;0;0;0;1
"521930 Santa Helena de Goiás";0;0;0;0;0;1;0;0;0;0;1
"521940 Santa Rita do Araguaia";0;0;0;0;1;0;0;0;0;0;1
"521975 Santo Antônio do Descoberto";0;0;0;0;0;2;1;0;0;0;3
"522010 São Luís de Montes Belos";0;0;0;0;1;2;1;0;0;0;4
"522040 São Simão";0;0;0;0;2;0;0;0;0;0;2
"522045 Senador Canedo";0;0;0;1;3;5;2;0;0;0;11
"522050 Serranópolis";0;0;0;0;1;0;1;0;0;0;2
"522060 Silvânia";0;0;0;0;1;0;1;0;0;0;2
"522130 Três Ranchos";0;0;0;0;1;1;0;0;0;0;2
"522140 Trindade";0;0;1;3;3;1;3;1;0;0;12
"522160 Uruaçu";0;0;0;0;0;1;1;0;0;0;2
"522185 Valparaíso de Goiás";0;0;0;3;6;3;4;2;0;0;18
"520000 Município ignorado - GO";1;0;0;0;0;0;0;0;0;0;1
"Total";4;3;25;266;299;221;124;25;5;2;974
