 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Fx. Etária(13)
Ano Diagnóstico: 2022
Ano Notificação: 2022
UF Residência: Paraná
Região Res.: Região Sul
UF Notificação: Paraná
Região Not.: Região Sul
Período:2022
"Município (Res)";"1-4";"10-14";"15-19";"20-29";"30-39";"40-49";"50-59";"60-69";"70-79";"80 e mais";"Total"
"411330 Laranjeiras do Sul";0;0;0;1;0;2;1;0;0;0;4
"411350 Loanda";0;0;0;0;0;1;0;0;0;0;1
"411370 Londrina";0;0;0;33;42;37;17;7;4;1;141
"411420 Mandaguari";0;0;0;0;1;0;0;0;0;0;1
"411435 Manfrinópolis";0;0;0;1;0;0;0;0;0;0;1
"411460 Marechal Cândido Rondon";0;0;0;1;2;1;1;0;0;0;5
"411480 Marialva";0;0;0;1;0;2;0;0;0;0;3
"411520 Maringá";1;0;1;32;48;32;19;5;3;0;141
"411560 Matelândia";0;0;0;0;0;1;0;1;0;0;2
"411570 Matinhos";0;0;0;0;0;0;0;1;1;0;2
"411620 Morretes";0;0;0;1;0;0;0;0;0;0;1
"411660 Nova América da Colina";0;0;0;0;0;1;0;0;0;0;1
"411690 Nova Esperança";0;0;0;1;0;0;0;0;0;0;1
"411700 Nova Fátima";0;0;0;1;0;0;1;0;0;0;2
"411705 Nova Laranjeiras";0;0;0;1;0;0;0;1;0;0;2
"411720 Nova Olímpia";0;0;0;0;0;0;0;0;1;0;1
"411730 Ortigueira";0;0;0;0;1;0;0;0;0;0;1
"411750 Paiçandu";0;0;0;1;0;0;1;0;0;0;2
"411760 Palmas";0;0;1;0;1;1;1;0;0;0;4
"411770 Palmeira";0;0;0;0;1;0;0;0;0;0;1
"411780 Palmital";0;0;0;0;0;1;0;0;0;0;1
"411800 Paraíso do Norte";0;0;0;0;1;0;0;0;0;0;1
"411820 Paranaguá";0;0;1;14;14;15;11;6;1;1;63
"411840 Paranavaí";0;0;1;1;5;4;1;2;1;0;15
"411850 Pato Branco";0;0;0;3;6;8;3;1;1;0;22
"411870 Paulo Frontin";0;0;0;0;0;0;0;1;0;0;1
"411900 Pérola d'Oeste";0;0;0;0;1;0;0;0;0;0;1
"411915 Pinhais";0;0;0;6;14;5;4;3;0;0;32
"411930 Pinhão";0;0;0;0;0;1;0;0;0;0;1
"411950 Piraquara";0;0;0;4;9;3;4;1;0;0;21
"411960 Pitanga";0;0;0;1;0;0;0;0;0;0;1
"411965 Pitangueiras";0;0;0;0;0;0;1;0;0;0;1
"411990 Ponta Grossa";0;0;3;27;13;29;8;5;1;0;86
"412040 Presidente Castelo Branco";0;0;0;0;0;1;0;0;0;0;1
"412050 Primeiro de Maio";0;0;0;0;1;0;0;0;0;0;1
"412080 Quatro Barras";0;0;0;1;0;0;0;0;0;0;1
"412090 Quedas do Iguaçu";0;0;0;0;0;2;0;0;0;0;2
"412160 Renascença";0;0;0;1;0;0;0;0;0;0;1
"412170 Reserva";0;0;0;0;0;0;1;1;0;0;2
"412175 Reserva do Iguaçu";0;0;0;0;1;0;0;0;0;0;1
"412190 Ribeirão do Pinhal";0;0;0;0;0;0;1;0;0;0;1
"412215 Rio Bonito do Iguaçu";0;0;1;0;0;0;0;0;0;0;1
"412220 Rio Branco do Sul";0;0;0;1;0;1;0;0;0;0;2
"412240 Rolândia";0;0;0;3;1;0;0;0;0;0;4
"412250 Roncador";0;0;0;0;0;0;0;0;0;1;1
"412290 Salto do Itararé";0;0;0;0;0;0;1;0;0;0;1
"412350 Santa Helena";0;0;0;1;0;0;0;0;0;0;1
"412370 Santa Isabel do Ivaí";0;0;0;0;2;0;0;0;0;0;2
"412380 Santa Izabel do Oeste";0;0;0;0;1;0;0;0;0;0;1
"412405 Santa Terezinha de Itaipu";0;0;0;1;0;0;1;0;0;0;2
"412410 Santo Antônio da Platina";0;0;0;0;3;0;0;0;0;0;3
"412470 São Jerônimo da Serra";0;0;0;1;0;0;0;0;0;0;1
"412500 São João do Ivaí";0;0;0;0;0;1;0;0;0;0;1
"412540 São José da Boa Vista";0;0;0;0;0;0;1;0;0;0;1
"412550 São José dos Pinhais";0;0;1;18;20;16;13;4;0;0;72
"412560 São Mateus do Sul";0;0;0;0;0;1;0;0;0;0;1
"412570 São Miguel do Iguaçu";0;0;0;0;0;1;0;0;0;0;1
"412600 São Sebastião da Amoreira";0;0;0;0;0;1;0;0;0;0;1
"412610 São Tomé";0;0;0;1;1;1;0;1;0;0;4
"412625 Sarandi";0;0;0;4;2;8;2;1;0;0;17
"412627 Saudade do Iguaçu";0;0;0;0;0;0;1;0;0;0;1
"412640 Sertaneja";0;0;0;0;0;0;0;1;0;0;1
"412680 Tapejara";0;0;0;0;3;0;0;0;0;0;3
"412700 Teixeira Soares";0;0;0;0;0;1;0;0;0;0;1
"412710 Telêmaco Borba";0;0;0;2;5;5;2;0;0;0;14
"412720 Terra Boa";0;0;0;0;1;0;0;0;0;0;1
"412750 Tibagi";0;0;0;0;1;0;0;0;0;0;1
"412770 Toledo";2;0;2;15;18;11;7;3;0;0;58
"412810 Umuarama";0;0;0;2;7;6;5;3;1;1;25
"412820 União da Vitória";0;0;0;3;0;0;3;1;0;0;7
"412853 Ventania";0;0;0;0;0;0;1;0;0;0;1
"412880 Xambrê";0;0;0;0;0;0;1;0;0;0;1
"Total";5;1;22;432;500;426;287;125;33;6;1837
