 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Raça/cor
Ano Diagnóstico: 2023
Ano Notificação: 2023
UF Residência: Rio Grande do Sul
Região Res.: Região Sul
UF Notificação: Rio Grande do Sul
Região Not.: Região Sul
Período:2023
"Município (Res)";"Branca";"Preta";"Amarela";"Parda";"Indígena";"Total"
"431880 São Lourenço do Sul";4;0;0;0;0;4
"431890 São Luiz Gonzaga";13;0;0;0;0;13
"431900 São Marcos";3;0;0;0;0;3
"431910 São Martinho";1;0;0;0;0;1
"431912 São Martinho da Serra";2;0;0;0;0;2
"431915 São Miguel das Missões";1;0;0;0;0;1
"431940 São Pedro do Sul";3;0;0;1;0;4
"431950 São Sebastião do Caí";7;0;0;1;0;8
"431960 São Sepé";2;1;0;0;0;3
"431980 São Vicente do Sul";1;0;0;0;0;1
"431990 Sapiranga";21;0;0;1;0;22
"432000 Sapucaia do Sul";36;0;0;0;0;36
"432020 Seberi";1;0;0;0;0;1
"432055 Sertão Santana";1;0;0;0;0;1
"432065 Silveira Martins";0;0;0;1;0;1
"432067 Sinimbu";1;0;0;0;0;1
"432070 Sobradinho";1;0;0;0;0;1
"432080 Soledade";1;0;0;0;0;1
"432100 Tapera";1;0;0;0;0;1
"432110 Tapes";3;2;0;0;0;5
"432120 Taquara";12;0;0;1;0;13
"432130 Taquari";1;0;0;0;0;1
"432143 Terra de Areia";1;0;0;0;0;1
"432145 Teutônia";1;0;0;0;0;1
"432150 Torres";10;0;0;0;0;10
"432160 Tramandaí";37;3;1;1;0;42
"432166 Três Cachoeiras";1;0;0;0;0;1
"432180 Três de Maio";1;0;0;0;0;1
"432190 Três Passos";1;0;0;0;0;1
"432200 Triunfo";4;1;0;1;0;6
"432220 Tupanciretã";1;0;0;0;0;1
"432240 Uruguaiana";25;0;0;7;0;32
"432250 Vacaria";10;0;0;5;0;15
"432253 Vale do Sol";1;0;0;0;0;1
"432260 Venâncio Aires";10;1;0;0;0;11
"432270 Vera Cruz";2;0;0;0;0;2
"432280 Veranópolis";1;0;0;0;0;1
"432300 Viamão";47;15;1;8;0;71
"432380 Xangri-lá";7;0;0;0;0;7
"Total";2024;374;15;310;3;2726
