 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Fx. Etária(13)
Ano Diagnóstico: 2021
Ano Notificação: 2021
UF Residência: Rio Grande do Sul
Região Res.: Região Sul
UF Notificação: Rio Grande do Sul
Região Not.: Região Sul
Período:2021
"Município (Res)";"< 1 ano";"1-4";"5-9";"10-14";"15-19";"20-29";"30-39";"40-49";"50-59";"60-69";"70-79";"80 e mais";"ignorado";"Total"
"430760 Estância Velha";0;0;0;0;0;0;0;2;1;1;0;0;0;4
"430770 Esteio";0;0;0;0;0;3;5;5;5;0;1;0;0;19
"430780 Estrela";0;0;0;0;0;2;2;1;1;1;0;0;0;7
"430790 Farroupilha";0;0;0;0;0;3;2;4;3;3;0;0;0;15
"430820 Flores da Cunha";0;0;0;0;0;0;0;0;1;0;0;0;0;1
"430850 Frederico Westphalen";0;0;0;0;1;0;3;0;1;1;0;0;0;6
"430860 Garibaldi";0;0;0;0;0;0;0;1;0;0;0;0;0;1
"430900 Giruá";0;0;0;0;0;1;0;2;0;0;0;0;0;3
"430910 Gramado";0;0;0;0;0;2;1;1;0;0;0;0;0;4
"430920 Gravataí";0;0;1;0;0;8;25;12;8;6;2;0;0;62
"430930 Guaíba";0;0;0;0;0;4;9;9;6;0;0;0;0;28
"430940 Guaporé";0;0;0;0;0;0;0;1;0;0;0;0;0;1
"430960 Horizontina";0;1;0;0;0;1;0;0;0;0;0;0;0;2
"430980 Ibiaçá";0;0;0;0;0;0;0;1;0;0;0;0;0;1
"430990 Ibiraiaras";0;0;0;0;0;0;1;0;0;0;0;0;0;1
"431000 Ibirubá";0;0;0;0;0;0;1;0;0;0;0;0;0;1
"431010 Igrejinha";0;0;0;0;0;1;2;2;1;2;0;0;0;8
"431020 Ijuí";0;0;0;0;0;6;8;6;4;0;1;0;0;25
"431033 Imbé";0;0;0;0;0;1;0;0;0;1;1;0;0;3
"431040 Independência";0;0;0;0;0;0;1;0;0;0;0;0;0;1
"431060 Itaqui";0;0;0;0;0;2;2;4;0;1;0;0;0;9
"431080 Ivoti";0;0;0;0;0;0;0;1;0;0;0;0;0;1
"431100 Jaguarão";0;0;0;0;0;0;0;0;1;0;0;0;0;1
"431120 Júlio de Castilhos";0;0;0;0;0;1;0;0;0;0;0;0;0;1
"431130 Lagoa Vermelha";0;0;0;0;0;1;2;3;1;1;0;0;0;8
"431140 Lajeado";0;0;0;0;1;9;18;18;2;2;0;0;0;50
"431177 Maquiné";0;0;0;0;0;0;1;0;0;0;0;0;0;1
"431180 Marau";0;0;0;0;1;1;3;1;0;0;0;0;0;6
"431205 Marques de Souza";0;0;0;0;0;0;2;0;0;0;0;0;0;2
"431238 Monte Belo do Sul";0;0;0;0;0;0;0;0;0;0;0;1;0;1
"431240 Montenegro";0;0;0;0;0;1;8;2;9;0;0;0;0;20
"431265 Não-Me-Toque";0;0;0;0;0;0;0;1;0;0;0;0;0;1
"431270 Nonoai";0;0;0;0;0;0;0;0;1;0;0;0;0;1
"431306 Nova Hartz";0;0;0;0;1;0;0;0;0;0;0;0;0;1
"431335 Nova Roma do Sul";0;0;0;0;0;0;0;0;1;0;0;0;0;1
"431337 Nova Santa Rita";0;0;0;0;0;1;1;1;0;1;0;0;0;4
"431340 Novo Hamburgo";0;0;0;0;1;9;22;14;22;7;2;0;0;77
"431344 Novo Tiradentes";0;0;0;0;0;1;0;0;0;0;0;0;0;1
"431350 Osório";0;0;0;0;0;2;5;4;3;0;1;0;0;15
"431365 Palmares do Sul";0;0;0;0;0;1;1;0;0;1;0;0;0;3
"431370 Palmeira das Missões";0;0;0;0;0;2;1;2;0;1;0;0;0;6
"431380 Palmitinho";0;0;0;0;0;0;0;1;0;0;0;0;0;1
"431395 Pantano Grande";0;0;0;0;0;0;0;0;1;0;0;0;0;1
"431405 Parobé";0;0;0;0;0;2;2;1;2;0;0;0;0;7
"431410 Passo Fundo";0;0;0;0;0;12;6;17;6;2;0;0;0;43
"431420 Pedro Osório";0;0;0;0;0;0;0;0;0;1;0;0;0;1
"431440 Pelotas";0;0;0;0;1;24;38;25;14;6;0;0;0;108
"431450 Pinheiro Machado";0;0;0;0;0;1;0;1;1;0;0;0;0;3
"431460 Piratini";0;0;0;0;0;0;1;0;0;0;0;0;0;1
"431480 Portão";0;0;0;0;0;2;1;3;1;0;0;0;0;7
"431490 Porto Alegre";0;1;1;0;10;128;216;196;109;52;15;1;0;729
"431505 Porto Mauá";0;0;0;0;0;0;0;1;0;0;0;0;0;1
"431510 Porto Xavier";0;0;0;0;0;0;0;1;0;0;0;0;0;1
"431530 Quaraí";0;0;0;0;0;0;0;0;1;0;0;0;0;1
"431535 Quinze de Novembro";0;0;0;0;0;0;0;0;0;0;1;0;0;1
"431555 Rio dos Índios";0;0;0;0;0;0;0;0;0;1;0;0;0;1
"431560 Rio Grande";0;0;1;0;2;22;26;28;19;8;1;0;0;107
"431570 Rio Pardo";0;0;0;0;0;5;3;2;3;2;1;0;0;16
"431620 Rondinha";0;0;0;0;0;0;0;1;0;0;0;0;0;1
"431640 Rosário do Sul";0;0;0;0;0;2;2;2;0;0;0;0;0;6
"431680 Santa Cruz do Sul";0;0;0;0;0;5;8;9;9;3;1;0;0;35
"431690 Santa Maria";0;0;1;0;1;16;34;22;15;7;1;0;0;97
"431720 Santa Rosa";0;0;0;0;0;5;3;2;1;4;0;0;0;15
"431730 Santa Vitória do Palmar";0;0;0;0;0;1;3;4;2;0;0;0;0;10
"431700 Santana da Boa Vista";0;0;0;0;0;0;0;0;1;0;0;0;0;1
"431710 Santana do Livramento";0;0;0;0;0;2;6;2;1;1;0;0;0;12
"431740 Santiago";0;0;0;0;0;0;3;0;4;0;0;0;0;7
"431750 Santo Ângelo";0;0;0;0;0;6;5;7;1;1;1;0;0;21
"431760 Santo Antônio da Patrulha";0;0;0;0;0;0;2;1;2;1;0;0;0;6
"431770 Santo Antônio das Missões";0;0;0;0;0;0;0;1;0;0;0;0;0;1
"431755 Santo Antônio do Palma";0;0;0;0;0;0;0;1;0;0;0;0;0;1
"431780 Santo Augusto";0;0;0;0;0;1;0;0;0;0;0;0;0;1
"431790 Santo Cristo";0;0;0;0;0;1;0;0;0;0;0;0;0;1
"431800 São Borja";0;1;0;0;0;3;3;1;3;2;1;0;0;14
"431830 São Gabriel";0;0;0;0;0;2;4;5;1;1;1;0;0;14
"431840 São Jerônimo";0;0;0;0;0;0;0;1;1;2;0;0;0;4
"431843 São João do Polêsine";0;0;0;0;0;1;0;0;0;0;0;0;0;1
"431850 São José do Norte";0;0;0;0;0;0;0;0;1;0;0;0;0;1
"431870 São Leopoldo";0;0;0;1;2;14;22;19;13;14;2;0;0;87
"431880 São Lourenço do Sul";0;0;0;0;0;0;1;0;0;0;0;0;0;1
"431890 São Luiz Gonzaga";0;0;0;0;0;1;5;4;1;3;0;0;0;14
"431900 São Marcos";0;0;0;0;0;0;0;1;0;1;0;0;0;2
"431915 São Miguel das Missões";0;0;0;0;0;2;0;0;0;0;0;0;0;2
"431940 São Pedro do Sul";0;0;0;0;0;0;0;1;0;0;1;0;0;2
"431950 São Sebastião do Caí";0;0;0;0;0;1;1;1;2;0;0;0;0;5
"431960 São Sepé";0;0;0;0;0;0;0;0;0;1;0;0;0;1
"431990 Sapiranga";0;0;0;0;0;4;4;9;2;0;0;0;0;19
"432000 Sapucaia do Sul";0;0;0;0;1;3;10;11;8;6;0;0;0;39
"432020 Seberi";0;0;0;0;0;0;0;0;1;0;0;0;0;1
"432050 Sertão";0;0;0;0;0;0;0;0;0;1;0;0;0;1
"432080 Soledade";0;0;0;0;0;1;4;3;3;0;0;0;0;11
"432090 Tapejara";0;0;0;0;0;0;0;0;0;1;0;0;0;1
"432110 Tapes";0;0;0;0;0;0;3;0;0;0;0;0;0;3
"432120 Taquara";0;0;0;0;0;4;9;7;3;3;1;0;0;27
"432130 Taquari";0;0;0;0;0;0;0;0;1;0;0;0;0;1
"432140 Tenente Portela";0;0;0;0;0;0;1;0;0;0;0;0;0;1
"432145 Teutônia";0;0;0;0;0;0;1;0;1;0;0;0;0;2
"432150 Torres";0;0;0;0;0;4;3;2;3;0;0;0;0;12
"432160 Tramandaí";0;0;0;0;0;7;9;5;4;1;0;0;0;26
"432166 Três Cachoeiras";0;0;0;0;0;0;1;0;0;0;0;0;0;1
"432170 Três Coroas";0;0;0;0;0;0;1;0;0;0;0;0;0;1
"432180 Três de Maio";0;0;0;0;0;0;1;0;1;1;0;0;0;3
"432190 Três Passos";0;0;0;0;0;0;1;0;0;0;0;0;0;1
"432200 Triunfo";0;0;0;0;0;0;1;2;2;0;0;0;0;5
"432220 Tupanciretã";0;0;0;0;0;0;1;1;0;1;0;0;0;3
"432230 Tuparendi";0;0;0;0;0;0;1;0;0;0;0;0;0;1
"432234 Ubiretama";0;0;0;0;0;1;0;0;0;0;0;0;0;1
"432240 Uruguaiana";0;0;1;0;0;3;9;9;0;2;0;0;0;24
"432250 Vacaria";0;0;0;0;1;3;7;3;0;1;1;0;0;16
"432253 Vale do Sol";0;0;0;0;0;1;0;0;1;0;0;0;0;2
"432254 Vale Real";0;0;0;0;0;0;0;0;1;0;0;0;0;1
"432255 Vanini";0;0;0;0;0;0;0;1;0;0;0;0;0;1
"432260 Venâncio Aires";0;0;0;0;0;1;3;3;1;0;1;0;0;9
"432270 Vera Cruz";0;0;0;0;0;2;1;2;0;1;0;0;0;6
"432300 Viamão";0;1;0;0;1;19;17;16;15;8;0;0;0;77
"432320 Victor Graeff";0;0;0;0;0;1;0;0;0;0;0;0;0;1
"432340 Vila Maria";0;0;0;0;0;1;0;0;0;0;0;0;0;1
"432380 Xangri-lá";0;0;0;0;0;2;0;0;1;0;0;0;0;3
"Total";2;5;5;2;33;494;780;680;432;220;45;4;1;2703
