 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Escolaridade
Ano Diagnóstico: 2015
Ano Notificação: 2015
UF Residência: Paraná
Região Res.: Região Sul
UF Notificação: Paraná
Região Not.: Região Sul
Período:2015
"Município (Res)";"analfabeto";"1ª a 4ª série incompleta";"4ª série completa";"5ª a 8ª série incompleta";"fundamental completo";"médio incompleto";"médio completo";"superior incompleto";"superior completo";"não se aplica";"Total"
"411170 Jaboti";0;0;0;0;1;0;0;0;0;0;1
"411180 Jacarezinho";0;1;4;3;1;1;3;1;1;0;15
"411190 Jaguapitã";0;1;0;0;0;0;0;0;0;0;1
"411210 Jandaia do Sul";0;0;0;1;0;1;0;0;0;0;2
"411240 Japurá";0;0;0;0;0;0;1;0;0;0;1
"411270 Jataizinho";0;0;0;0;0;0;1;0;0;0;1
"411295 Juranda";0;0;1;0;0;0;0;0;0;0;1
"411320 Lapa";0;1;1;2;0;0;0;0;0;0;4
"411330 Laranjeiras do Sul";0;1;0;0;0;1;3;0;0;0;5
"411350 Loanda";0;1;0;0;0;1;0;0;0;0;2
"411370 Londrina";4;14;8;34;6;8;19;8;21;0;122
"411400 Mamborê";0;0;1;0;0;1;0;0;0;0;2
"411410 Mandaguaçu";0;0;1;0;0;0;0;1;1;0;3
"411420 Mandaguari";0;0;0;1;0;0;0;0;0;0;1
"411430 Mandirituba";0;0;0;1;0;0;1;0;0;0;2
"411440 Mangueirinha";0;0;0;0;1;1;0;0;0;0;2
"411460 Marechal Cândido Rondon";0;1;0;1;0;1;2;0;0;0;5
"411480 Marialva";0;0;0;0;0;1;0;0;1;0;2
"411520 Maringá";1;11;5;25;8;12;23;5;14;0;104
"411570 Matinhos";0;0;0;0;0;1;1;0;0;0;2
"411580 Medianeira";0;0;0;2;0;0;0;2;0;0;4
"411605 Missal";0;0;0;1;0;0;0;0;0;0;1
"411610 Moreira Sales";0;0;0;1;0;0;0;0;0;0;1
"411620 Morretes";0;0;0;2;0;0;1;0;0;0;3
"411630 Munhoz de Melo";0;0;0;0;1;0;0;0;0;0;1
"411670 Nova Aurora";0;0;0;0;1;0;0;0;0;0;1
"411690 Nova Esperança";0;1;0;0;0;0;2;0;0;0;3
"411720 Nova Olímpia";1;0;0;0;0;0;0;1;0;0;2
"411750 Paiçandu";0;3;0;1;1;0;0;0;0;0;5
"411760 Palmas";0;1;0;3;2;1;0;0;1;0;8
"411780 Palmital";0;0;1;0;0;0;1;0;0;0;2
"411790 Palotina";0;1;1;1;0;0;0;0;1;0;4
"411810 Paranacity";0;0;0;0;0;1;0;0;0;0;1
"411820 Paranaguá";1;3;2;38;11;10;13;1;3;0;82
"411840 Paranavaí";0;1;1;2;1;2;4;0;3;0;14
"411850 Pato Branco";1;2;5;2;2;1;5;2;6;0;26
"411880 Peabiru";0;0;0;1;0;0;0;0;0;0;1
"411890 Pérola";0;0;0;1;0;2;0;0;0;0;3
"411915 Pinhais";0;3;3;10;5;6;10;1;2;0;40
"411920 Pinhalão";0;0;1;0;0;0;0;0;0;0;1
"411930 Pinhão";1;1;0;1;0;0;0;0;0;0;3
"411940 Piraí do Sul";0;0;1;1;0;0;1;0;0;0;3
"411950 Piraquara";1;4;0;1;1;4;5;3;1;0;20
"411960 Pitanga";0;1;0;0;0;0;0;0;1;0;2
"411990 Ponta Grossa";1;15;6;29;11;18;9;3;5;0;97
"411995 Pontal do Paraná";0;0;0;2;0;0;1;0;2;0;5
"412000 Porecatu";0;0;0;0;0;1;0;0;0;0;1
"412010 Porto Amazonas";0;0;0;0;0;1;0;0;0;0;1
"412060 Prudentópolis";0;0;0;2;0;1;0;0;0;0;3
"412090 Quedas do Iguaçu";0;0;1;0;1;0;0;0;0;0;2
"412150 Rebouças";0;0;0;0;0;1;0;0;0;0;1
"412170 Reserva";0;0;0;0;1;0;0;0;0;0;1
"412180 Ribeirão Claro";0;0;0;0;0;0;1;0;0;0;1
"412220 Rio Branco do Sul";0;0;1;1;0;0;2;0;0;0;4
"412240 Rolândia";0;0;0;0;0;0;0;0;1;0;1
"412250 Roncador";0;0;2;0;0;1;0;0;0;0;3
"412265 Rosário do Ivaí";0;0;0;1;0;0;0;0;0;0;1
"412320 Santa Cecília do Pavão";0;1;0;0;0;0;0;0;0;0;1
"412350 Santa Helena";0;1;0;0;0;1;2;0;0;0;4
"412405 Santa Terezinha de Itaipu";0;0;0;1;0;1;0;0;0;0;2
"412410 Santo Antônio da Platina";0;1;3;1;1;0;0;0;0;0;6
"412520 São Jorge d'Oeste";0;0;0;1;0;0;0;0;0;0;1
"412535 São Jorge do Patrocínio";0;2;0;1;0;0;0;0;0;0;3
"412540 São José da Boa Vista";0;0;0;0;1;0;0;0;0;0;1
"412550 São José dos Pinhais";1;1;1;14;3;7;19;2;6;0;54
"412610 São Tomé";0;0;1;1;0;0;1;0;0;0;3
"412625 Sarandi";0;1;1;1;1;0;1;0;0;0;5
"412660 Siqueira Campos";0;1;0;1;0;0;0;0;0;0;2
"412667 Tamarana";0;0;0;1;0;0;0;0;0;0;1
"412680 Tapejara";0;1;0;2;0;0;0;0;0;0;3
"412700 Teixeira Soares";0;0;0;1;0;0;0;0;0;0;1
"412710 Telêmaco Borba";0;1;2;1;0;0;0;0;0;0;4
"412730 Terra Rica";0;0;0;0;0;0;0;0;1;0;1
"412750 Tibagi";0;1;0;1;1;0;0;0;0;0;3
"412760 Tijucas do Sul";0;0;0;0;0;0;1;0;0;0;1
"412770 Toledo";0;2;2;5;4;6;16;1;3;0;39
"412780 Tomazina";0;0;1;0;0;0;0;0;0;0;1
"412785 Três Barras do Paraná";0;0;0;0;0;0;1;0;0;0;1
"412796 Turvo";0;0;0;1;0;0;0;0;0;0;1
"412800 Ubiratã";0;0;1;2;0;0;0;0;0;0;3
"412810 Umuarama";2;2;0;6;1;4;3;1;0;0;19
"412820 União da Vitória";0;2;0;3;2;1;1;0;0;0;9
"412840 Uraí";1;0;0;0;0;0;0;0;1;0;2
"412855 Vera Cruz do Oeste";0;0;0;0;1;0;0;0;0;0;1
"412850 Wenceslau Braz";0;0;2;1;0;0;0;0;1;0;4
"Total";28;179;151;416;155;224;342;83;176;1;1755
