 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Raça/cor
Ano Diagnóstico: 2023
Ano Notificação: 2023
UF Residência: Santa Catarina
Região Res.: Região Sul
UF Notificação: Santa Catarina
Região Not.: Região Sul
Período:2023
"Município (Res)";"Branca";"Preta";"Amarela";"Parda";"Indígena";"Total"
"420670 Herval d'Oeste";4;3;0;0;0;7
"420690 Ibirama";2;0;0;0;0;2
"420700 Içara";14;1;0;0;0;15
"420710 Ilhota";1;0;0;0;0;1
"420720 Imaruí";3;0;0;1;0;4
"420730 Imbituba";9;1;0;0;0;10
"420750 Indaial";15;0;1;3;0;19
"420780 Irani";0;0;0;1;0;1
"420785 Irati";1;0;0;0;0;1
"420800 Itá";1;0;0;0;0;1
"420810 Itaiópolis";1;0;0;0;0;1
"420820 Itajaí";92;8;1;22;0;123
"420830 Itapema";18;6;1;8;0;33
"420845 Itapoá";4;0;0;0;0;4
"420880 Jaguaruna";8;0;0;1;0;9
"420890 Jaraguá do Sul";16;2;0;9;0;27
"420900 Joaçaba";7;1;0;0;0;8
"420910 Joinville";126;6;1;28;0;161
"420930 Lages";62;4;2;10;0;78
"420940 Laguna";7;0;0;0;0;7
"420945 Lajeado Grande";1;0;0;0;0;1
"420960 Lauro Muller";1;0;0;0;0;1
"421000 Luiz Alves";1;0;0;0;0;1
"421010 Mafra";5;0;0;1;0;6
"421040 Maracajá";4;0;0;0;0;4
"421060 Massaranduba";1;0;0;0;0;1
"421105 Monte Carlo";1;0;0;0;0;1
"421130 Navegantes";30;2;0;5;0;37
"421140 Nova Erechim";0;1;0;0;0;1
"421145 Nova Itaberaba";1;0;0;0;0;1
"421150 Nova Trento";2;0;0;0;0;2
"421160 Nova Veneza";2;0;0;0;0;2
"421170 Orleans";4;0;0;0;0;4
"421175 Otacílio Costa";1;0;0;0;0;1
"421180 Ouro";0;0;0;1;0;1
"421190 Palhoça";46;5;4;4;0;59
"421220 Papanduva";2;0;0;0;0;2
"421225 Passo de Torres";1;0;0;0;0;1
"421250 Penha";8;0;0;0;0;8
"421280 Piçarras";5;0;0;1;0;6
"421290 Pinhalzinho";0;0;0;1;0;1
"421320 Pomerode";6;0;0;2;0;8
"421330 Ponte Alta";2;0;0;0;0;2
"421340 Ponte Serrada";1;0;0;0;0;1
"421350 Porto Belo";3;0;0;2;0;5
"421360 Porto União";2;0;0;0;0;2
"421370 Pouso Redondo";0;0;0;1;0;1
"421380 Praia Grande";1;0;0;0;0;1
"421400 Presidente Getúlio";1;0;0;0;0;1
"421480 Rio do Sul";21;0;0;5;0;26
"421500 Rio Negrinho";2;0;0;0;0;2
"421550 Santa Cecília";1;0;0;0;0;1
"421570 Santo Amaro da Imperatriz";1;0;0;0;0;1
"421580 São Bento do Sul";12;0;0;0;0;12
"421610 São Domingos";1;0;0;0;0;1
"421620 São Francisco do Sul";14;1;0;1;0;16
"421630 São João Batista";3;0;0;0;0;3
"421625 São João do Oeste";1;0;0;0;0;1
"421660 São José";73;4;4;4;1;86
"421700 São Ludgero";1;0;0;0;0;1
"421720 São Miguel do Oeste";16;0;0;3;0;19
"421725 São Pedro de Alcântara";1;0;1;0;0;2
"421730 Saudades";1;0;0;0;0;1
"421740 Schroeder";0;0;0;1;0;1
"421750 Seara";0;0;0;1;0;1
"421770 Sombrio";9;0;0;1;0;10
"421800 Tijucas";14;1;0;0;0;15
"421820 Timbó";8;0;0;3;0;11
"421830 Três Barras";1;0;0;0;0;1
"421840 Treze de Maio";2;0;0;0;0;2
"421850 Treze Tílias";2;0;0;0;0;2
"421870 Tubarão";26;3;0;3;0;32
"421890 Urubici";1;0;0;0;0;1
"421900 Urussanga";5;0;0;0;0;5
"421930 Videira";15;1;0;2;0;18
"421950 Xanxerê";6;2;0;10;1;19
"421970 Xaxim";2;1;0;1;0;4
"Total";1386;115;32;269;4;1806
