 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Escolaridade
Ano Diagnóstico: 2015
Ano Notificação: 2015
UF Residência: Santa Catarina
Região Res.: Região Sul
UF Notificação: Santa Catarina
Região Not.: Região Sul
Período:2015
"Município (Res)";"analfabeto";"1ª a 4ª série incompleta";"4ª série completa";"5ª a 8ª série incompleta";"fundamental completo";"médio incompleto";"médio completo";"superior incompleto";"superior completo";"não se aplica";"Total"
"421620 São Francisco do Sul";0;1;3;5;1;5;5;1;2;0;23
"421630 São João Batista";0;0;0;2;1;1;0;0;0;0;4
"421650 São Joaquim";0;1;0;0;0;1;2;0;0;0;4
"421660 São José";2;2;3;26;13;16;30;8;13;0;113
"421690 São Lourenço do Oeste";0;0;0;1;0;0;0;0;0;0;1
"421720 São Miguel do Oeste";0;0;0;2;0;0;0;0;0;0;2
"421725 São Pedro de Alcântara";0;1;0;0;0;1;0;0;0;0;2
"421740 Schroeder";0;0;0;1;0;0;1;0;0;0;2
"421750 Seara";0;0;0;0;1;0;0;0;0;0;1
"421760 Siderópolis";0;0;0;0;2;0;0;0;0;0;2
"421770 Sombrio";0;2;0;2;0;2;1;0;0;0;7
"421775 Sul Brasil";0;0;1;0;0;0;0;0;0;0;1
"421780 Taió";0;1;0;0;0;0;0;0;0;0;1
"421800 Tijucas";0;3;0;4;2;2;3;1;1;0;16
"421820 Timbó";1;0;0;0;0;1;4;0;0;0;6
"421870 Tubarão";0;6;8;18;3;3;11;5;5;0;59
"421875 Tunápolis";0;0;0;0;0;0;0;1;0;0;1
"421880 Turvo";0;1;0;0;0;0;0;0;0;0;1
"421885 União do Oeste";0;0;0;1;0;0;0;0;0;0;1
"421900 Urussanga";0;1;1;1;2;1;1;0;0;0;7
"421930 Videira";1;2;0;3;1;0;2;0;0;0;9
"421950 Xanxerê";1;2;0;8;0;0;1;0;0;0;12
"421970 Xaxim";0;0;0;0;0;0;1;0;0;0;1
"Total";32;171;100;471;244;205;437;124;209;2;1995
